Major,Minor / Specialization,Graduation Year,Prior Degrees,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Skills - Computer,Skills - Language,Skills - Personal,Courses,Projects
Economics,Leadership Studies   ,,,Data Analysis Intern and Lead Valet and Customer Service Rep.,Assist Senior Data Analyst in analytical studies and projects; Coordinate with managers in establishing parking organization; Analyze costs and dates associated with maintenance; Interact with hospital customers satisfactorily; Assist in the sales of parking related permits,Start-up Entrepreneur,"Invested in a Ford E-350 Cargo Van after researching moving trends;  Moved college students during “new lease season” (July-August); Kept records of revenue and costs in Excel for accounting; Netted a profit in two months, while providing affordable services for students",Intern Assembler,"Constructed product in assembly line infrastructure;  Tested product for quality control; Learned values, operations and functions of internal business from HR","Microsoft Excel, Access, Word, Outlook, Powerpoint, WordPress website design, social media interfaces such as Facebook and Twitter, internet research using search engines such a Google; minute knowledge of programming (HTML), record and edit videos","Basic Spanish speaking, reading, and writing comprehension",,,Student Club Treasurer
Geographical Information Science; Economics; Chinese,,5/2017,,"Intern, Industrial Engineering",Prepared deployment of ORION for a distribution center; Met with 31 drivers to discuss the optimal route when using ORION; Produced a compliance audit process for supervisors in the Ohio Valley District,Server,"Performed general upkeep of the country club, kitchen and ballroom; Assisted with and delegated tasks to prepare a 250 person capacity ballroom for large scale events; Facilitated weddings, corporate events, and banquets",,,"ArcGIS, C++, Python, HTML5, CSS, JavaScript, Certified in Creating, Editing, and Managing Geodatabases for ArcGIS Desktop",,,,
Actuarial Science,,5/2017,,Math and Science Tutor,Mentored and tutored over 100 preschool to 9th grade students in math and science; Helped 75% of students build on their previous skills and helped the remaining become strong in their skills,Tutor,Mentoring and tutoring multiple middle school students in math and science,,,"Basic Java and SQL, Mastery of Word, Excel, Outlook, PowerPoint, and OpenOffice","Proficient in Spanish and Telugu, verbal and written",,"Microeconomic, Macroeconomics, Calculus III",
Economics; Finance,,,,Wealth Management Intern,"Identified key economic drivers through daily market analysis in order to maximize client profitability; Evaluated business metrics such as; profit, revenue, and gross margin to determine investment allocations; Analyzed company portfolios and conduct risk analysis to provide top investment opportunities for clients",Capital Markets Intern,Implemented Argus in the process of building financial models and discounted cash flow sales; Created industry surveys to benchmark comparable corporations in the regional and national markets; Analyzed local real estate markets to build market knowledge and contribute to the evaluation of real estate investment trusts (REITS),M&A Intern,Built financial models through excel for middle market company analysis during the acquisition process; Constructed confidential information memorandum (CIM) to learn background information on the M&A procedure; Analyzed the impact of capital structures on potential M&A transactions,,,,"Mat Lab, STATA, and “R” Programming; Financial Calculus 1&2; Analytic Statistics; Intermediate Microeconomic Theory; Intermediate Macroeconomic Theory; Financial Accounting 1&2; Econometrics; Computer Science and Engineering 1&2, International Economic Theory",
Economics,Arabic; French,5/2016,,,,,,,,"Excel, PowerPoint, Word, Gretl","Fluent in French, proficient in Arabic and Spanish",,,"Club director of finance, fund intercollegiate conferences such as the Model United Nations, maintain financial balance sheets, solicit commercial sponsorship, collect member dues, file tax documents with IRS, lead weekly finance committee meetings; Serve as delegate to Model United Nations -­? participate in international current event debates, and team writing of directives and resolutions aimed at dispute settlement"
Economics,Statistics and Political Science,5/2017,,Student Tutor,Assist economics students in understanding difficult concepts related to coursework; Collaborate with Economics Department and Professors to make sure students are receiving necessary resources (Such as going to classes and providing resource information),Dock Assistant,Maintained organization and efficiency in a fast paced environment both in the marina and on the docks; Worked directly with law enforcement to keep Pleasant Hill Lake and Park a safe and secure environment,,,"Proficient in Stata 14, Microsoft Office, Excel, PowerPoint, Strong Online Research Skills",American Sign Language,,"Advanced Calculus, Statistics, Micro/Macro Economics, Economics and Ethics Advanced Writing","Treasurer of student organization, created a financial system for the club from the ground up to support volunteer opportunities within Columbus area and lead financial committee"
Economics,,5/2017,,Lifeguard,"Partner with other lifeguards to ensure patron safety, enforce pool rules, and participate in training Exercises; Teach Red Cross Learn-to-Swim lessons to community kids aged 3-16; Took on additional work including pool and recreation center maintenance to assure pool opened on time",Campus Ambassador,Promoted social media website SPORTalk on campus to expand users; Communicated with other ambassadors to organize promotional events to spread SPORTalk name,Coach,Coached group of approximately 30 competitive youth swimmers aged 5-17; Collaborated with other coaches to set up and run swim meets efficiently,"Microsoft Office: Excel, Word, PowerPoint, Access",Basic Spanish proficiency,,"Calculus, Principles of Microeconomics, Intermediate Macroeconomic Theory, Spreadsheets and Databases, Intro to Business Statistics",
Data Analysis; Philosophy,,5/2018,,Administrative Assistant    ,"Hire, train, and assist in supervision of 10-15 student employees; Analyze data for use in department initiatives, events, and reports; Document and oversee department initiative through positional transition; Plan and implement department’s signature event for entire Ohio State community; Increase sponsorships by 25% and donations by 50% for signature event; Document office procedures and create tutorials for use in office; Collaborate with other departments and companies to provide exemplary service",Software Development Intern,Write and develop programs in Python for use in organization website; Utilize SQL to control and manipulate website database; Assist with the handling of organization’s computers and files,Summer Assistant,Analyzed records to assess the contents of files and categorize them; Utilized a records management system to control a database of files; Examined files to determine whether relevant to company holdings,,,,,Treasurer of student organization
Political Science; Economics,Somali ,12/2015,,Security Monitor,Was alert for any violations of building rules and regulations and/or city and state laws; Responded to calls for assistance and intervened in threatening situations; Carried out dispatch duties and monitored screens for suspicious behavior; Completed incident reports for varying situations; Used various means to peacefully resolve disputes among guests or building personnel,Translator/Interpreter,Translated several documentaries from English to Somali; Translated PowerPoint presentations from English to Somali and performed voice overs on them; Helped incoming students and freshmen during their transition period to the university; Assisted with a number of tasks at the front desk,Financial  Administrator,Conducted billing and pay rolling operations; Used coded data to produce and submit claims to insurance companies; Reviewed and appealed on behalf of unpaid and denied claims; Assisted patients by answering billing and finance questions,Extensive knowledge and experience in computers and packages including MS Office and various software,Fluency in Somali and English,,,
Economics,,5/2016,,Server/Banquet Server,"Developed strong ability to accurately determine needs, recommend solutions and create customer relationships; Coordinate activities for parties and events; Strong multitasking skills in competitively challenging environments",Program Coordinating Intern,"Set up and explained new membership contracts; Leading and mentoring sessions, commanding attention, and engaging matches; Assist with school-based program coordinator with all program components; Coordinates and implements activities to improve specific skills and character traits; Assist with volunteer and youth enrollment, and on-site match support ",Server/Trainer,Trained approximately 30+ new servers; Contributed to the opening of Logan’s Roadhouse at this location,MS windows Proficient,American Sign Language,"Exceptional communication skills, Coordinates multiple tasks, Strong Client relations, Ability to work independently","Money and Banking, Intermediate Macroeconomics Theory, Government and Business, Business Statistics,  Pre-calculus, Principles of Microeconomics, Persuasive Communication",
Actuarial Science,Economics,5/2017,,Pre-Calculus Tutor                                                                                                                        ,Assist OSU students with their pre-calculus and remedial math needs,Sales Associate                                                                                                                                ,Promoted the company credit card and sold more than 20 company cards to customers; Helped coordinate and organize floor layouts every 2-3 weeks; Assisted customers with bill payments on their NY&C credit card,Controller Assistant                                                                                                                                         ,Verified that amounts in monthly bank statements were consistent with amounts in the company's cash account through bank reconciliations; Assisted with 15+ financial reports by recording the data into Excel,"Proficient in Microsoft Word, Excel, Access, and PowerPoint",,,,
Economics,Chinese; Computer/Information Science ,5/2017,,District Intern                                                        ,"Networked with local business and political leaders on behalf of the Senator; Streamlined responses to constituents with Mail Merge in Excel, Word, and Outlook;Trained new interns and full-time employees on Senate software systems and office policies;  Presented awards and attended events when the Senator was not available; Worked on social media strategy to increase engagement with constituents; Managed and updated Excel databases of local leaders’ contact information for mailings",SAT Tutor                                                                                                 ,"Worked with local high school students to improve SAT test-taking methods and essay writing; Built study plans to both fix weaknesses and bolster strengths on Math & English sections; Developed personalized sample homework assignments for each student; Created sample prompts, then edited and gave notes on written essays",District Intern                                                        ,Summer Internship working with the Senator and his Senior Representative; Managed constituent records and provided data for reports supporting the Senator’s policies; Presented awards and attended events on behalf of the Senator; Answered constituents’ questions via email and incoming phone calls; Resolved constituent issues/problems by working with California state agencies,,,,"Mandarin Level 2, Financial Econometrics, C++ Data Structures, Principles of Accounting, Software Development & Design, Macro/Micro Economics",
Economics; International Studies,,5/2015,,Intern                                                                                          ,"Entrusted to make and take 15-20 district constituent calls per shift, resulting in the resolution of constituent problems; Directed to carry out research on bills; ranging from obtaining key properties from similar bills in other states, identifying enactment and results of previous bills, to seeking out funding for potential public and private constituent initiatives; Responsible for timely and efficient communication with in district business concerns regarding law clarification;  Supervision of the office in the instance that neither the LA nor representative were available, leaving me with the task of coordinating office duties",Associate,"Supervision and management of the store, responsible for keeping employees on task; Responsible for resolving guest concerns and ensuring a wonderful experience; Entrusted with carrying out store cash deposits and handling other management tasks; Tasked with assisting employees during working hours to insure smooth operations",Library Assistant,"Organized and filed new incoming material, resulting in efficient distribution of material to the main library; Participated in the organization of local community events associated with the Library, specifically in directing family activities","Proficiency in Microsoft Word, Excel, PowerPoint, along with developed Internet research skills",,Planning/coordinating skills enable me to work efficiently and integrate my efforts with fellow co-workers,,
Strategic Communications; Economics,,5/2017,,Crew Lead,"Profited the company $100,000 by leading 3 man crew on 5 exterior painting projects; Established mutually beneficial relationships between the consumer and the company; made competitive estimates on bids for new jobs; Promoted to project manager within four months of working; directed crew in completing objectives for bid on time and under budget; trained new employees in scraping, priming and painting",lawn care specialist,"Turned seasonal profit of $4,500; reinvested $1,000 into personal business; Designed advertisement flyers to expand company from 2 lawns to 8 lawns; Managed and constantly encouraged employees to have a customer first attitude; Expanded labor from lawn care to additional landscaping work to extend business operations from 6 months to 12 months",in-shop & delivery driver,Accelerated through training to become a delivery driver within the first two weeks; Took extra responsibilities throughout employment such as slicing meat and taking deposits to the bank,,,,,
Business Administration,,,,Full Time Hired Staff ,Demonstrated exceptional proficiency as substitute instructor Hired full-time after one day as substitute instructor; Worked as head instructor for two classes of 24 students for the duration of one course Provided constructive strategies to improve efficiency of the workplace,Tutor,Tutored a group of 6 students after regular school hours in Physics for the IB program Assisted them in understanding the course content and how to apply it using practice examinations,,,,"Fluent in English and Hindi, fair in Spanish",,,
Economics,,5/2016,,Student Assistant,"Conducted independent analytical research using sports statistics, regularly reporting to a departmental advisor; Assembled large databases from multiple sources and manipulated data to develop new formulas; Created unique methods and models to quantify player production; Organized findings into a research thesis to be published in the Journal of Sports Economics and presented at the Denman Undergraduate Research Forum and other conferences",Journey Leader,Trained new employees in various positions; Responsible for customer order preparation and distribution; Prepared workstation and grill area and maintained its cleanliness,Cashier,"Responsible for opening the store, performing maintenance on equipment, managing inventory, maintaining cleanliness, and providing excellent customer service unsupervised on a daily basis; Coordinated advertising, promotions, and customer relations on social media; Handled daily cash flows, financial reports, and deposits","Microsoft Excel VBA, including VLOOKUP and IF macros (self-taught)",,"Strong background in quantitative data analysis, including linear regression, applied mathematics, and forecasting",Performing basic SQL and R queries,
Economics,"Environment, Economy, Development, & Sustainability  ",5/2016,,Business Administration Student                                                                                                         ,"Currently working with Hexion Inc. in a client-type relationship with Hexion representatives on a suite of company submitted projects pertaining to the Renewable Energy Industry;Completed in-depth industry analysis, created maturity map of industry leaders, & created materiality assessment augmented by industry research; Provided final strategic recommendations for Hexion’s Renewable Energy segment ",Research Intern                                                                                                                                          ,Led and completed financial research projects regarding various industries; Completed in-depth analysis of Energy Industry and performance of publicly owned oil and gas companies; Analyzed and prepared notes of multiple companies’ financial behavior and transactions for Roulston Research’s  Roundtables; Wrote transcripts of Roulston Research’s Roundtables,Office Assistant                                                                                                                              ,"Assisted HR Dept with annual tasks and data entry for OSHA reporting; Supported weekly tasks pertaining to accounts receivable and payable, and payroll for over 60 employees; Led installation of new software on company servers and computers ","Advanced skills in Microsoft Office Suite (Word, Excel, PowerPoint, etc.), & MATLAB",,,"Economics (Micro, Macro, & Agricultural), Business Administration, Sustainability studies, Statistics, Calculus, & Computer Science",
Economics,,,,Barista                                   ,"Provide great customer service; Take orders, and make coffee, tea, and other drinks according to the customers’ specification; Use cash register and credit card machines;  Maintain common areas of working area;Responsible for removing trash, organizing ware, and cleaning premise;  Clean coffee machines often; Maintain good customer relation and speedy delivery of all beverages",Service Technician                         ,Perform repairs and different maintenance to customers vehicles; Speak with customers often and explains the problem with their; Use the easier solutions with customers when inspecting and repairing their a vehicle,,,Microsoft Excel and Access,Fluent in Creole,,,
Actuarial Science; Mathematics,Economics,5/2017,,Coordinator,Founded and led a program to help a young girl in a fire accident; Raised funds through self-made products; Reached out to the community for donations; Recruited with NFL football player for support and donations of over $2000,Student Assistant,Prepare food to help the Market better function throughout the day; Facilitate the cleaning and maintaining of the Market to improve efficiency and longevity; Administer meals and develop relationships with customers to create good relationships between our company and community,Sales Associate,"Maintained, recovered, restocked merchandise to keep the store looking and running smoothly; Assisted customers in the Home and Kids section to conserve a sense of our mission statement","Excel, Access, PowerPoint, Word                                                                                ",Conversation Level of Spanish; Beginning level of American Sign Language,,"Foundations of Accounting, Theory of Interest, Advanced Calculus, Spreadsheets and Databases",
Economics; Sociology,,5/2016,,Intern                                                                                              ,"Conceptualized and introduced a new design for  existing “Culture Matters"" billboard, by persuading team members from Continuous Improvement, Employee Engagement, and Innovation Team to collaborate on the project; Assessed data on employee movement and workforce demographics of about 942 employees, as well as evaluated the Bank’s HR policies, to complete the Diversity Best Practices survey by end of July; Oversaw team collaboration with employees to complete the Human Rights Campaign Corporate Equality Index survey by mid- August; Created a report for one of the Senior Vice Presidents comparing the DiversityInc survey results from 2014 to 2015, and determined areas of improvement for the Bank",Conference Intern                                                                                                                                           ,"Managed conference fees, flight records, hotel registrations and accommodations, roommate assignments and supply shipping for almost 300 conference attendees of the Mortar Board National Conference; Marketed Mortar Board merchandise and managed payments at conference using PayPal and Avectra, an online organizational membership base; Increased attendance at conference by reaching out to about 230 chartered Mortar Board chapters; Resolved financial and logistical conflicts of conference attendees",Research Assistant                                                                                                                                         ,Gathered and systematized data on hiring discrimination and occupational segregation in organizational settings for Jill Yavorsky’s PhD research project.,"Mastery in Microsoft Word, Excel, PowerPoint, Outlook, Access. Experienced with Stata and research methods.",,,,
Economics,Business; Political Science; English,5/2016,,Operations Intern                                                 ,Worked within Model Management and Optimization group of AML/BSA;  Supported management by creating and maintaining documentation to monitor departmental tools; Analyzed monthly program performance and collaborated on presentation for executive leadership,Intern,Researched and prepared legislative briefs and talking points for relations with constituents; Assisted legislative staff with office and administrative duties,I.T. Data Analysis Intern Lead                                                                                                         ,Led transition of intern team on item standardization project;  Organized project goals and coordinated with upper management on project outlines,"Microsoft Office Suite: Excel, Access, PowerPoint, Word Statistical Analysis: Stata, SAS SQL, Gretl",,,"Econometrics, Money & Banking, Industrial Organization, Accounting and Finance",
Actuarial Science; Economics,,12/2016,,Student Lead,Manage the coffee station and evaluate co-workers; Order bakery items and supplies,Sales Associate,"Provided prompt, efficient, and polite customer service; Maintained a clean, customer friendly store; Managed the store on the overnight shift; Cashed out items to customers",Sales Associate/ Cook,"Received orders, processed payments and responded to customer issues; Performed duties at the front counter and drive-thru; Maintained healthy and safety standards in the restaurant; Cleaned kitchen area, counters, and food preparation area","Microsoft Office (Access, Excel, PowerPoint, Word), C++ Programming, and Stata",Intermediate Spanish,,"Theory of Interest, Probability and Statistics, Life Contingencies, Advanced Calculus, Linear Algebra, Foundations of Accounting, Intermediate Microeconomics, Macroeconomics, and Econometrics",
Economics; Anthropology,,,,,,,,,,,,Collecting/Analyzing data for research on neighborhood Economic Development in Columbus Ohio,,Team Fundraiser for student organization
Data Analysis,,5/2016,,Tutor ,"Worked four to ten hours per week;  Tutored Algebra I and II, Geometry, Calculus, and Spanish",Personal Assistant ,Worked as a Personal Assistant over Winter Break; Helped organize office,,,Microsoft Office and Pages,Spanish,,,
Economics,Business and Statistics  ,5/2016,,Research Assistant                                               ,"Presented a poster at annual Society for Nutrition Education and Behavior Conference in Pittsburgh, PA this summer; Gained experience in use of STATA, a Data Analysis and Statistical Software; Gained experience with survey tool Quatrics; Organized a Tray-waste Database over a 3-year period and 6 different studies; involving 130 schools in tray- waste data, and more in Production Records; Recorded test scores and demographics for each school over the last 10 years; Collected data comparing the sales tax on general food versus pop, candy, and other junk food categories between states and years 1948 to 2014 for a future paper",Intern in General Pediatrics                                                                                                       ,"Analyzed 4280 patient’s physical charts by age, use of template in documentation, and assessment of BMI; Analyzed documentation of dietary counseling, physical activity counseling, labs ordered, or reason for no labs; Presented poster at forum at the end of each summer and invited back to present at Great Lakes Science Center",Host / Carside ToGo Specialist                                                                           ,"Coordinated the entire dining area based on the servers present and making sure not to overdue the kitchen; Multitasked between answering the phone, preparing and packaging food, and running food to cars",,,,,
Economics,Business,5/2017,,Grounds Crew                                                                                         ,"Collaborate with other grounds crew members to ensure the largest softball complex in the nation is operating smoothly; Provide a safe and clean environment in an efficient manner to make sure tournaments of over 10,000 people follow schedule; Work together with coworkers in finding safe and effective solutions to problems that occur within the park on a regular basis",RPAC Facility and Fitness Manager                                                    ,"Work in groups of three or four to provide safety, security, and customer service in various conditioning/weight training environments in the RPAC averaging twenty hour work weeks during the school year; Inspect, maintain, and help set up sports facilities for special events. Enforce departmental policies regarding health, safety, and security;  Assisting the coordinator in managing a student staff in a facility that is over 550,000 square feet in size",Sales Associate                                                                     ,"A top associate in sales with the ability to clearly demonstrate and describe all products accurately on the sales floor in a professional manner; Worked in a highly stressful and fast-paced environment, assuring 100% satisfaction for all customers; Merchandised, stocked and replenished the sales floor constantly while also attending to all customer needs",,,,,
Economics,Finance,,,Intern,Participated in new business proposals to meet client’s needs; Wrote and drafted presentations on website reports and campaigns Assisted in B2B trade shows on behalf of clients; Researched consumer trends and market behaviors Wrote and reviewed copy for websites; Prepared and presented on consumer research for client’s campaigns,Sales Associate,Extensive work selling products on floor and building relationships with frequent customers; Assisted in register counting and bank delivery,Assistant Pastry Chef,Responsible for providing the first step of campus café baked goods transportation,"Microsoft Word, Excel, and Powerpoint Analytical Reporting- Google Analytics; Revising and reviewing campaigns- Google AdWords Customer service and sales skills",,,,
Economics,Theatre,5/2017,,Economic/Finance Intern,Economic forecasting and modeling; Using econometrics to analyze data sets;  Work with excel to help facilitate billing projects,Sales Associate,"Set and achieved daily, weekly, and monthly sales goals; Cultivated and managed excellent customer relationships",Coach,"Coached children ages 4-15; T-ball, Basketball, Track; Communicated with parents and guardians to facilitate weekly practices",,,Great communication skills and can easily collaborate with others; High aptitude for mathematical concepts and models; Ability to create new ideas and implement them efficiently;  Aptitude for analyzing complex information and communicating it to others,,Treasurer for student organization
Economics,Chinese,12/2015,,Corporate Analyst Development Program Intern                                                                                                              ,Completed Authentication Time Study resulting in $200K cost savings for Retail and Card Department; Worked collaboratively with Accenture revising Retail Customer Service operations with development of Control Process Maps; Established and implemented tactics to improve JD Powers ranking deficiencies within Call Center and Retail Bank; Improved Automated Call Center satisfaction with enhancement of Call Identification and Validation,Judgment Department Intern                                                                                                                                               ,Utilized reporting functions to update case management systems to inform attorneys of case structural changes; Created pre-appraisal merged documents for Mortgage and Litigation cases for review and approval by senior staff,Operations Intern                                                                                                                                                               ,"Coordinated, scheduled, and managed daily activities for 32+ team members; Collaborated with various departments in Distribution and Stores to achieve optimal level of service requirements to 74 Target stores serviced by the West Jefferson Distribution Center; Created and implemented new operation process to discover trends throughout the West Jefferson Distribution Center",,,,,
Economics,Mathematics,5/2016,Assocate of Arts,Area Manager,"Successfully produced ""quality"" janitorial services at 7 properties in Columbus, Ohio; Effectively and efficiently lead, managed, and developed 11-12 employees; Developed and implemented new systems to support company, customer, and scope objectives; Proactively collaborated with company executives on initiatives to find solutions to company impediments; Responsible for janitorial services for high-profile businesses and their secured areas to include: Law, Financial Services, Real estate, Civil Engineering/Construction, Non-Profit, Consulting, and Medical offices; Productively created employee professional/personal growth plans and conducted employee performance evaluations; Proactively articulated impediments to District Manager and Operations Manager; Accountable for ordering janitorial supplies and inventory management; Fostered professional-working relationships between staff members and accounts, improving customer relations, trust, and job satisfaction; Successfully developed and sustained ""high-performance"" teams with a ""strong"" morale",Administrative Assistant for Senior Executive Officer,"Maintained sensitive documents and records for over 500 employees; Accounted for over $500,000 in service related property on a daily bases; Organization Spirit Officer, supervised numerous negotiations of design and pricing for quality memorabilia embodying organization spirit; Supported personnel in creating new files and updating existing data in office and on computer databases; Initiated administrative actions to quickly and effectively resolve finance and payroll challenges; Provided team members with the motivation and attention to detail in order to complete daily tasks; Media escort for civilian counterparts; Enforced standards, organization policies, and directives; Constantly pursued new ways to improve organization systems and operations",Key Personnel Escort/ Radio Telephone Operator,Worked with supporting organizations in providing the highest mission readiness for over 500 personnel in support of Operation Enduring Freedom; Instrumental in generating and briefing on weekly schedules and training resources; Ensured all personnel were made aware of and in 100% compliance with published guidance and directives; Succeeded in a fast paced and highly demanding environment by utilizing the best practices of the organization and applying them to challenging situations,,,"Management, Project Management, Six Sigma, Data Analysis, Leadership, Behavioral Economics, Inventory Management, Record Keeping, Administration, Microsoft Office, Economic Data Analysis, Team Building, Negotiation, Process Improvement, Office Administration, Logistics Operations, Operational Planning, Command, Military Experience, Active Security Clearance, Business Technology, Operations Management, Training, Root Cause Analysis, Change Management, Information Assurance, Government, Public Policy",,
Actuarial Science; Mathematics,,12/2015,,Lifeguard,Responsible for supervising swimmers’ safety; Performed facility maintenance; Taught swim lesson classes for kids; Worked 40+ hours per week,,,,,"Microsoft Office, Java Programming",German,,"Computer Skills for Business, Probability, Theory of Interest, Accounting, Life Contingencies  ",
Economics,,5/2016,,Carpet Cleaner,"Gained valuable customer service experience in working in homes and businesses of clientele; Wrote receipts, calculated prices, handled in person transactions, and carried out over the phone credit transactions; Performed daily inventory checks and restocking of work truck with necessary supplies and materials",Summer Employee,Assumed a leadership role while working with other summer employees; Collaborated with other employees on daily tasks in order to enhance and maintain the appearance of the city in an efficient manner,Assistant Coach,"Developed interpersonal skills in working with players and through interactions with parents, opposing coaches and other personnel; Performed necessary maintenance on the field to keep it in playable condition","Experience with MATLAB, SolidWorks, Microsoft Excel; Microsoft Word and PowerPoint",,,,
Economics,Business,5/2016,,Intern,Worked directly with a financial advisor specializing in the management of clients’403(b) accounts. Analyzed various investment vehicles and helped to determine asset allocations based on client’s risk tolerance.,Server,Sales position which required ability to communicate effectively with potential customers and also with managers.,Valet,Parked and retrieved cars for the customers of various restaurants around Columbus.,,,Management and Communication: Working as an assistant gymnastics coach has given me the ability to communicate effectively and respectfully with parents and children; Sales Experience: Working in a direct sales position gave me experience in interfacing with management and customers on a routine basis.,,
Economics,,5/2016,Associate of Science,Program Assistant,Planned and coordinated a mentoring program for 50 male mentee students; Presented and mediated challenging topics to the students and mentors; Organized events for guest speakers to present to 50 students and the community; Collaborated with a team to enhance and redefine the program,Support Specialist,Mentor and provide guidance for male consumers; Enhanceconsumers’ independenceandself-­­helpskills; Assist in transporting consumers to various locations; Document and administer medication to appropriate consumers; Awarded employee of the month in September 2012,Pre?School Teacher                                                                                           ,Educated preschool students from ages 3-­­5 in preparation for Kindergarten; Assisted in school age summer programs; Improved social skills amongst other students; Graduated two classes into Kindergarten; Provided artwork for school plays and musical,Word and Excel,Basic Spanish,"Experienced in graphic and multimedia art; leadership, motivational, and analytical skills.",,
Economics,International Studies,5/2016,,Student Research Assistant on Measuring Residential Segregation Project,"Gathers historical data from many sources including US Census, prison records, and Veteran Affairs; Organizes and reviews large data sets and prepares for statistical analysis; Analyzes data and runs linear regressions using statistical analysis tools such as STATA",Intern,Developed financial literacy training materials for field representatives and loan officers; Collected loan payments from clients in the townships; Marketed microfinance housing loans to qualifying customers through presentations,Assistant Editor and Summer Book Club Coordinator,"Developed rigorous and interactive lesson plans for over 60 elementary and middle school students; Instructed students on the writing process, grammar, and mechanics through revision; Represented the organization at community functions such as luncheons and city meetings; Presented for donors that funded nonprofit operations at various functions; Wrote articles for local publications, such as the Wisconsin State Journal about the education achievement gap and related issues","Intermediate proficiency in Spanish; Proficient in Microsoft Word, PowerPoint, and Excel;  Proficient in STATA",,,,
Economics,Constitutional Law,12/2015,,Intern                                                                                                                                                                          ,Screened phone calls; Contributed to script-writing and research,Fall Fellows Intern                                                                                                                                                    ,Registered young voters within Franklin County; Input data within OFA computer system,Writing Tutor                                                                                                                                                            ,Assisted current students with any difficulties or struggles with their writing; Helped current students with homework or essays,"Proficient with Windows 7, Windows XP, Lion, Snow Leopard, Microsoft Word, Access, PowerPoint, ",,"Organized, Punctual, Problem-solver, Creative, Meets deadlines, Team player, Great customer service skills","Public Speaking, Business Law, English Composition, Marketing, College",
Strategic Communications; Economics,,5/2016,,Telecounselor                                                                       ,Address questions prospective students may have upon applying to The Ohio State University; Collect data to keep academic programs competitive with other schools; Collaborate with 60 other undergraduates to work towards weekly goals,Store Management Intern                                              ,Coached and developed a team of eight sales associates through a new customer loyalty initiative; Drove sales and profit through analyzing trends alongside business partners who influenced merchandise selections; Inspired associates to build upon their strengths and work on a myriad of opportunities towards improvement via customer service,Marketing Intern                                                                ,"Promoted the ideas, works and accomplishments of young entrepreneurs; Utilized social media to gain more followers and networked with other businesses; Contacted past and potential talents on articles written about them and gained more subscribers through solidifying relationships",,,,,
Data Analytics,,5/2018,,Membership Sales Office Assistant,Perform data entry of new member information and help with error-correction; Process new member files and consolidate cancelled member files; Maintain an orderly system of member organization,,,,,"One year of programming experience with Java; introductory experience with HTML and XML; Proficient with Microsoft Office, Windows, and the Internet",,,,
Data Analytics,,5/2018,,Intern,"Worked directly with the CEO to create the company’s initial analytics offering; Analyzed large Medicare data sets to assess medication costs and prescribing patterns at the state, health system and individual physician levels;  Delivered a benchmark reporting system that efficiently generates a medication cost analysis for specific geographies and/or health systems; Created accurate and insightful data visualizations from conceptualized objectives; Gained experience in performing data integration, data cleansing, data modeling, and data integrity optimizations; Utilized TIBCO Sportfire analytics platform; Worked in startup environment",Pizza Delivery Driver,Delivered Pizza; Took orders over the phone; Created a positive experience for all costumers; ,,,"Experience in Java, R and Python; Proficient in GitHub; Ability to learn programs quickly; Reputation for being reliable, creative and detail oriented; Microsoft Excel",,,,
International Studies; Economics          ,,5/2016,,Executive Intern                                                                                                         ,"Engaged in business analysis with senior executives to determine actions to maintain or recoup sales, utilizing multiple metrics; Attended in depth in store visits with regional directors to determine better practices and opportunities; Coached team of associates to maintain or exceed targeted sales and loyalty goals",Assistant to the Business Manager       ,Assisted in the coordination of programs and events; Organized and tracked fiscal accounts for both Centers; Drafted promotional materials and communications for both centers;  Assisted in the creation of policies to streamline and track use of the MRI Scanner,Intern                                                                                                                            ,Created marketing materials for nascent programs; Drafted and distributed materials for recruitment and outreach; Organized client information and resources for bookkeeping,,Chinese,,,
Economics,Computer and Information Science,12/2016,,groovy developer on the ETL data warehousing team,"Used Agile development methodology; Worked with business analysts, making sure code met the business requirements; Reverse Engineered web application to explain tax calculations on products; Co de modifications on the groovy ETL application; Worked with MongoDB, supporting backend of application",Software Engineering Intern in Web Development ,"using the .Net framework and in Android app development; Wrote asp.net and C# code to develop front-end and back-end of interactive education-technology web site. Also helped develop Microsoft SQL Server database by creating tables, writing stored procedures, and basic SQL commands; Worked in Android app development and wrote extensive Android codes for interactive education-technology mobile app; Worked in team to design layout for mobile app and website",,,"Java, Groovy, Android, C#, asp.net, HTML, Python, C++, Shell Scripting; Microsoft SQL Server, MongoDB; Linux/Unix; Microsoft Office Suite (Word, PowerPoint, Excel);  Conversational Spanish",,,,
Financial Mathematics,,5/2016,,Mathematics Tutor,Assisted in sharpening the math skills of hundreds of students; Created a conducive environment for learning; Obtained a relationship with students that generated a 70% return rate; Awarded a raise in my second year; Dependable with an impeccable work record with no absences ,Car Parts Handler/New Employee Trainer,Promoted to New Employee Trainer within my first year; Received a raise my second year; Set new records for production in Ohio; Given the responsibility of making sure all customer orders went out in a timely manor; Eager to work overtime when needed; Dependable with an impeccable work record with no absences,Kitchen Crew Member,Supplied customers with food in an efficient manner; Received exemplary grades on employee evaluations; Dependable with an impeccable with record no absences,"Java Code, Computer proficiencies including MS Word, Excel, and Outlook. ",,,,
