Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
Statistical Modeller - AML New Graduate Program,"PLEASE SEE APPLICATION PROCESS BELOW THE DESCRIPTION!

At BMO Harris Bank, we have been helping our customers and communities for over 125 years. Working with us means being part of a team of talented, passionate individuals with a shared focus on working together to deliver great customer experiences. We stand behind your success with the support you need to turn your potential into performance. 

BMO Harris Bank is committed to an inclusive, equitable and accessible workplace. We are an Equal Opportunity Employer. By embracing diversity, we gain strength through our people and our perspectives

The AML Statistical Modeller will support the development of leading edge AML models for transaction monitoring, name matching, watch-list monitoring and customer risk scoring.  The role provides input to the framework for model development that would further improve the discipline.  This position carries responsibility for the timely and accurate development of AML models.  The testing, reviewing and validation activities include but is not limited to assisting technical writers with model documentation, following the AML and Enterprise Modeling Governance standards; stating key assumptions, including qualitative and expert judgment, logic and conceptual soundness; conducting various tests.

Key Accountabilities Include:

•	Assess the quality of the data for model development as well as inputs to models; 
•	Accomplish AML Program objectives through the effective oversight and support of critical AML models;
•	Properly identify report and escalate issues which may impact the AML Office resulting from lack of model performance, functionality or changes within critical applications;
•	Perform first level review and analysis of issues or escalations received from other areas within the AML Office;
•	Provide recommendations to improve monitoring systems and capabilities based on identified risk and control gaps;
•	Assist in preparing materials required for Audits and Exams;
•	Assist in the evaluation of projects and initiatives across BMO to properly identify areas of impact concerning critical AML models;
•	Scope of Scenarios & Parameters Change: Amend existing AML parameters;
•	Scope of Scenarios & Parameters Design: Design of component parts;
•	Integration Complexity: Single/few impacted systems or applications;

Skills:

In-depth analytic thinking, data mining & modeling, problem solving, risk management and information management.  Basic project management, 

IN ADDITION TO APPLYING ON THIS CAREER SITE, YOU MUST ALSO OFFICIALLY APPLY TO THIS PROGRAM BY COPYING AND PASTING THE URL BELOW INTO YOUR INTERNET BROWSER.

https://bmo.taleo.net/careersection/privcareer_jobdescription/jobdetail.ftl?job=1500017174&lang=en_GB&src=SNS-102

BMO Harris Bank thanks all applicants. We advise only those who qualify for an interview will be contacted.",Career Employment – Graduating Students & Alumni,"Computer Science and Engineering, Electrical and Computer Engineering, Industrial and Systems Engineering, Mechanical Engineering, Statistics, Mathematical Sciences - MMS, Economics, Mathematics - MS & PhD","•	Master degree in a quantitative discipline e.g., Statistics, Mathematics, Engineering, Economics, Finance or MBA or other quantitative field.
•	In-depth technical development skill and sound knowledge of advanced technology concepts 
•	In-depth knowledge of Financial Crimes, including current ML/TF behaviors 
•	In-depth knowledge of Statistical Analysis and Human Behavior Modeling 
•	Knowledge of Data Mining Tools 
•	Working knowledge of parametric and non-parametric statistical techniques."
NSA Summer Language Program-1060457,"Summer Language Program
Undergraduate and graduate students will learn to analyze foreign communications for vital intelligence missions by apprenticing with experienced language analysts.  Geopolitical, cultural, and technical knowledge may be used to understand both overtly stated meaning and subtly implied intent as you scan, translate, and transcribe foreign communications, then report critical information to U.S. government customers.  

About The Program
The Summer Language Program is a 12-week internship intended for high-potential full-time college upperclassmen and graduate students.  Foreign language proficiency combined with a wide array of majors and minors will be considered for this program, which can be a one-summer or two-summer internship.  The program may begin after your sophomore year, and if mutually agreeable, continue the summer after your junior year.   Likewise, the program may begin the summer after your junior year and continue the summer between your senior year and your first year of graduate school.  The program may also take place in the summers between years of graduate study.   Participation during a second summer is encouraged but not required.   At the end of your internship, an offer may be extended for you to join NSA in a full-time position after graduation.

The 2016 Summer Language Program is hiring students with proficiency in Arabic, Chinese, Farsi, Korean, Russian, and Spanish.   The languages may change from year to year based on the Agency's projected hiring needs.

The Summer Includes
- A language mentor assigned from NSA's language analysis team
- Hands-on operational experience
- Relevant job-specific briefings
- Job-specific training and customized language training 

Pay, Benefits, & Work Schedule 
  
Applications are accepted 15 May 2015 thru 15 Oct 2015 for the 2016 Summer Language Program.

- Students are paid a competitive salary commensurate with their education  level
- Receive annual leave, sick leave, and paid federal holidays
- Participation in agency-wide extracurricular programs
- Students may be eligible for transportation to and from school.
- Daily transportation to and from work is not provided.  Students participating in the program are highly encouraged to bring a vehicle.  Carpooling with other students MAY be available but is not guaranteed
- Subsidized housing accommodations are available upon request if school is located in excess of 75 miles from NSA main headquarters campus",Internship,College of Arts and Sciences,"- Must be a U.S. citizen
- Must be eligible to be granted a security clearance
- Must have at least one semester or quarter of college study remaining at the conclusion of the summer internship
- Must have language proficiency in one of the advertised foreign languages
- A minimum cumulative GPA of 3.0 on a 4.0 scale is preferred
- A 3.5 average GPA in language/area studies courses is preferred
- Must be available for an operational interview, language testing, and other applicable processing at some point between June 2015 and January 2016."
Leadership Programs Coordinator,"Summary:
Position is focused around the Young Farmers and Ranchers (YF&R) program and the Farm Bureau Women’s program with the main responsibility being the coordination of the Young Farmers and Ranchers Leadership Group and the Women’s Leadership Committee (WLC).  By doing so, this position will develop and coordinate programs that provide education and leadership development in order to enable young adults to become engaged members of the Florida Farm Bureau Federation. This position also includes responsibility for organizing Florida Farm Bureau women through existing programs within our organization for the purpose of achieving the Federation’s policy goals and objectives.
 
 
Major Duties and Responsibilities:
·     Coordination of the Young Farmers & Ranchers (YF&R) Leadership Program, including the YF&R Leadership Group
 
·     Coordination of the Women’s Leadership Program, including the Women’s Leadership Committee
 
YF&R Programs Responsibilities:
·     Develop curriculum and coordinate the activities of the Florida Farm Bureau Young Farmers & Ranchers Leadership Group. 
 
·     To provide leadership training and development for young, active members in preparation to assume the responsibilities of leadership within Farm Bureau and positively promote Florida agriculture and Farm Bureau.
 
·     To provide educational opportunities and experiences for young members to learn more about the history, philosophy, structure, programs and services of the Farm Bureau organization.
 
·     To provide opportunities for young, active members to participate in all Farm Bureau activities at county, state and national levels.
 
·     Provide leadership and help coordinate leadership opportunities for county young farmers and ranchers. 
 
·     Provide leadership and act as a liaison for the Collegiate Farm Bureau chapter at the University of Florida
 
Women’s Programs Responsibilities:
·     Develop curriculum and coordinate activities of the Florida Farm Bureau Women’s Leadership Committee. 
 
·     To provide educational and leadership opportunities for Florida Farm Bureau        agricultural women to assume the responsibilities of leadership within Farm Bureau and positively promote Florida agriculture and Farm Bureau.
 
·     To organize Florida Farm Bureau women throughout our state for the purpose of achieving the Federation’s policy goals and objectives.
 
·     Provide leadership and guidance to the District Women Chairs for county and district women’s events.
 
·     Assist in various Florida Ag in the Classroom (FAITC) efforts in the state by helping to develop tools for volunteer leaders to use in their educational efforts.
 
·     Continue to promote and expand Farm Bureau Mini-Grant Program.
 
Annual Meeting Coordination:
·     Work alongside Director of Field Services to organize aspects of the annual meeting including, securing speakers, obtaining sponsorships, and group reservations.",Career Employment – Graduating Students & Alumni,"Lic: Family and Consumer Sciences Education, Lic: Middle Childhood Education, Human Development and Family Science, Lic: Language Arts-English Education, Lic: Foreign Language Education, Lic: Science-Math Education, Lic: Early Childhood Education, Consumer Sciences, Human Development and Family Science, Teaching and Learning, Educational Studies, Family and Consumer Sciences Education, Social Work, Social Work, Public Policy and Management, Public Affairs, Economics - Business, Marketing, General Business, Master of Business Logistics Engineering, Executive Master of Business Administration, Master of Human Resource Management, Master of Business Administration, Animal Sciences, Agricultural Communication, Agribusiness and Applied Economics, Agriscience Education, Environment Economy Development and Sustainability, Community Leadership, Entomology, Environmental Science, Environmental Policy and Decision Making, Natural Resources Mgmt, Horticulture and Crop Science, Environmental Science, Rural Sociology, Animal Sciences, Environment and Natural Resources, Agricultural Environmental and Developmental Economics, Agriscience Education, Political Science, Sociology, Communication, Comparative Studies, Economics, International Studies, Communication, Comparative Studies, Economics, English, Political Science, Psychology, Sociology, Arts Policy and Administration","Qualification Requirements:  To perform the job successfully, an individual must be able to perform each essential duty satisfactorily, while being required to attend various evening and weekend activities.  The requirements listed below are representative of the knowledge, skill, and ability required.
 
Education Requirements:  Bachelor’s degree from four-year college or university, or equivalent to education and experience
 
Language Skills:  Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or government regulations.  Ability to write reports, articles, and business correspondence.  Ability to effectively present information and respond to questions from groups, members, and the general public.
 
Reasoning Ability: Ability to solve practical problems and interpret a variety of instructions and information furnished in written, oral, and other forms.
 
Physical Demands:  The physical demands described here are representative of those that must by met by an employee in order to successfully perform the essential functions of this job.
 
1.     While performing the duties of this job, the employee will be required to travel extensively by automobile, during daylight and at night.
2.     Will be required to aid and assist in setting up meetings, moving tables, plants and other materials moving weights up to 50-60 lbs.
3.     May be required to drive a truck or van.
4.     Will be required to type using a computer for reports and other activities."
Store Associates,"STORE ASSOCIATE	Donatos’ cutting-edge associates are high-energy team players who are passionate about serving our customers and producing the finest quality product.  Our associates possess the highest level of integrity while being bold, passionate and fun.  
•	Taking accurate orders
•	Listening/Speaking clearly and articulately
•	Standing for long periods of time
•	Occasionally lifting up to 50 pounds
•	Comfortable operating a computer keyboard
•	Accurately handling cash
•	Clean as you go
•	Occasionally bending and twisting
•	Outstanding people skills 
•	Basic reading, writing and math skills
•	Highly responsible
•	Maintain a positive work atmosphere by acting and communicating in a manner so that you get along with internal and external customers, co-workers and management. Energetic and outgoing personality",Student Employment – Off Campus,All Majors,"•	Taking accurate orders
•	Listening/Speaking clearly and articulately
•	Standing for long periods of time
•	Occasionally lifting up to 50 pounds
•	Comfortable operating a computer keyboard
•	Accurately handling cash
•	Clean as you go
•	Occasionally bending and twisting
•	Outstanding people skills 
•	Basic reading, writing and math skills
•	Highly responsible
•	Maintain a positive work atmosphere by acting and communicating in a manner so that you get along with internal and external customers, co-workers and management. Energetic and outgoing personality"
Laboratory Technician II,"The Department of Physics is seeking a Laboratory Technician II, UCP 4.   The successful applicant for the position will assist the teaching lab staff to maintain and operate the physics teaching laboratories and demonstration room and ensure the safety and security of these areas.  Additional duties will include maintaining and upgrading equipment, developing new equipment under supervision, evaluating procedures for desired results, and assisting in the training and evaluating of teaching assistants and student labor.  The successful applicant will be responsible for the operation of evening and weekend labs.   For information about the Physics Dept., please go to:  http://www.phys.uconn.edu/ .

Minimum qualifications:  Bachelor’s degree in Physics or a related field, and 1-3 years’ experience in teaching laboratory operations, or equivalent education and experience; sound knowledge of principles of and experience in experimental physics; ability to perform and explain lab procedures and edit manuals; knowledge of laboratory safety procedures; ability to perform tasks requiring manual dexterity and lift 40 lbs; and ability to work on weekends and evenings. 

Preferred qualifications: Strong written and verbal communication skills; familiarity with science education research; experience with CAD; familiarity with Windows, Linux, standard office and analysis software, and microcomputer-based laboratory equipment; familiarity with PASCO proprietary hardware and software; ability to maintain and repair equipment similar in type and complexity to existing lab equipment; and demonstrated ability to work well with students, faculty and staff in a diverse environment. 

The desired start date is October 30, 2015.  Compensation commensurate with qualifications and experience.  

To Apply: For full consideration, interested applicants should submit letter of application, resume, names and addresses of three references to:  UConn Careers at http://www.jobs.uconn.edu.  Employment of the successful candidate is contingent upon the successful completion of a pre-employment criminial background check.  (Search # 2016087)  All employees are subject to adherence to the State Code of Ethics which may be found at http://www.ct.gov/ethics/site/default.asp.  The University of Connecticut is an EEO/AA employer.",Career Employment – Graduating Students & Alumni,"Geodetic Science, Anthropological Sciences, Astronomy and Astrophysics, Atmospheric Sciences, Physics, Biochemistry, Chemistry, Geographic Information Sciences, Geography, Mathematics, Earth Sciences, Mathematical Sciences - MMS, Anthropology, Astronomy, Atmospheric Sciences, Biochemistry, Biophysics, Chemical Physics, Chemistry, Earth Sciences, Geodetic Science, Geography, Mathematics - MS & PhD, Physics","Minimum qualifications:  Bachelor’s degree in Physics or a related field, and 1-3 years’ experience in teaching laboratory operations, or equivalent education and experience; sound knowledge of principles of and experience in experimental physics; ability to perform and explain lab procedures and edit manuals; knowledge of laboratory safety procedures; ability to perform tasks requiring manual dexterity and lift 40 lbs; and ability to work on weekends and evenings. 

Preferred qualifications: Strong written and verbal communication skills; familiarity with science education research; experience with CAD; familiarity with Windows, Linux, standard office and analysis software, and microcomputer-based laboratory equipment; familiarity with PASCO proprietary hardware and software; ability to maintain and repair equipment similar in type and complexity to existing lab equipment; and demonstrated ability to work well with students, faculty and staff in a diverse environment."
2016 Client Insights Analyst,"About Key
 
Cleveland-based KeyCorp (NYSE: KEY) is one of the nation's regional banks, with assets of approximately $93 billion.  Key companies provide investment management, retail and commercial banking, consumer finance, and investment banking products and services to individuals and companies throughout the United States and, for certain businesses, internationally. 
 
About the Business
 
The Clients Insights team is committed to delivering Marketing and Advertising, Customer and Channel Analytics, Marketing Analytics, Analytics Capabilities and Market Research. Analysts will provide analytical and reporting support towards the design of client strategies and initiatives for various lines of business including Consumer/ Small Business, Commercial, and Key Private Bank.

Essential Job Functions
 
Marketing and Client Insights is a rotational program with two distinct tracks.  Our Marketing track is designed for candidates with a blend of creative and analytical skills who will be given exposure to the following disciplines; Marketing Campaigns, Digital Marketing, Direct Marketing, and Marketing Sponsorships and Events.  Our Client Insights track is for candidates with strong mathematics and analysis backgrounds where skills can be applied to Portfolio Analysis, Targeting and Marketing Campaign Analysis, Client Segmentation, and Sales Performance Analysis.
 
You will begin with an orientation that will introduce you to Key's infrastructure and the business.  You will receive Excel and PowerPoint tips, etiquette training, resume counseling, along with additional on-the-job training to help you perform in your internship.  You will get direct coaching and feedback on your performance.",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Actuarial Science, Data Analytics, Economics, Mathematics","Qualifications
• Bachelor’s Degree (Business, Economics, Mathematics or related field)
• Strong quantitative, analytical and problem solving skills
• Knowledge of statistical techniques and data mining concepts and approaches
• Proven ability to interpret results of the analyses
• Results oriented, self-starter with ability to work with general direction 
• Intermediate knowledge of MS Excel and PowerPoint
• Strong written and oral communication skills"
2016 KeyBank Finance Analyst,"Application Deadline is 10/2/2015!

JOB BRIEF (PURPOSE)

Cleveland-based KeyCorp is one of the nation's largest bank-based financial services companies, with assets of approximately $87 billion. Key companies provide investment management, retail and commercial banking, consumer finance, and investment banking products and services to individuals and companies throughout the United States and, for certain businesses, internationally. The company's businesses deliver their products and services through branches and offices; a network of 1,576 ATMs; telephone banking centers 800-KEY2YOU® (800-539-2968); and a website, Key.com®, that provides account access and financial products 24 hours a day.
	
Our Finance division acts as a strategic partner across all business segments by providing insightful financial information, performance analysis, and advice.
	
ESSENTIAL JOB FUNCTIONS

- Assisting in development of financial projections
- Assisting in financial operations
- Building and utilizing financial models
- Preparing and analyzing financial reports
- Management and reporting
- Measuring performance of a line of business

You will start with several weeks of foundational training to broaden your financial accounting, finance theory, cash flow analysis, financial modeling, presentation, and business writing skills. Rotations begin upon completion of the foundational training, and continue for 18-24 months. A member of our Finance senior management team and an experienced Finance Analyst will serve as your mentors while you're in the program. 

Your rotations may include: 
- Business Finance 
- Planning and Performance Management 
- Investor Relations 
- Treasury 
- Tax 

Upon successfully completing the program, you will have the opportunity for placement based on business needs, demonstrated skill, your interests, and performance during the program.",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Economics, Mathematics","Required Competencies and Qualifications
- A bachelor's degree in Finance, Economics, or Accounting 
- Relevant work or internship experience 
- Demonstrated teamwork and leadership through extracurricular activities 
- Strong financial and/or accounting acumen 
- Good analytical and decision-making skills 
- Exceptional interpersonal and relationship-building skills 
- Effective oral and written communication skills 
- Strong knowledge of Microsoft® Office applications, with an emphasis on Excel® 
- Ability to work independently and as part of a team

This position is NOT eligible for employment visa sponsorship for non-U.S. citizens.
KeyCorp is an Equal Opportunity Employer M/F/D/V"
2016 KeyBanc Capital Markets Analyst,"Application Deadline 11/2/2015!

*Job Description 
About the Job -
KBCM is a leading, full-service corporate and investment bank dedicated to serving the needs of middle market clients.  The program provides Analysts the opportunity to refine current business skills, learn new ones, and apply them to identify corporate finance and capital markets solutions for our clients. Analysts work with industry and product group bankers in cross-functional teams, originating and executing a wide variety of financial advisory and capital markets mandates. Analysts start off with several weeks of training to hone their skills in financial accounting, corporate finance theory, cash flow analysis, credit/risk analysis, financial modeling, valuation, business writing, and more. 
At the end of training, Analysts are placed within capital markets, placement areas may include: • Corporate and Investment Banking • Mergers and Acquisitions • Debt Capital Markets • Equity Capital Markets • Syndicated Finance
Essential Job Functions -
Preparing and analyzing financial reports • Pitchbook preparation • Building and utilizing financial models • Developing presentation materials • Conducting industry and company analysis
Required Qualifications -
Bachelor's degree in Finance, Economics, or Accounting or related coursework • Outstanding academic achievement (minimum GPA 3.3 preferred) • Strong accounting and/or financial acumen • Good analytical and decision-making skills • Exceptional interpersonal and relationship-building skills • Effective oral and written communication skills • Relevant work or internship experience
Eligibility to work permanently in the U.S. 

This position is NOT eligible for employment visa sponsorship for non-U.S. citizens.",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Biostatistics, Undergraduate Majors, Accounting, Economics - Business, Finance, Actuarial Science, Data Analytics, Economics, Mathematics","Qualifications: Required Qualifications: 
-Bachelor's degree in Finance, Economics, Accounting or related coursework 
-Outstanding academic achievement (minimum GPA 3.3 preferred) 
-Strong accounting and/or financial acumen 
-Good analytical and decision-making skills 
-Exceptional interpersonal and relationship-building skills 
-Effective oral and written communication skills 
-Relevant work or internship experience 
-Eligibility to work permanently in the U.S. 
This position is NOT eligible for employment visa sponsorship for non-U.S. citizens. 

KeyCorp is an Equal Opportunity Employer M/F/D/V"
Senior Analyst - Operations Research,"Overview

The Senior Analyst for Operations Research will provide mathematical modeling and analysis services to support critical financial, operational, and/or strategic planning decisions.  This role will engage in supporting project teams in value added activities that generate practical solutions to complex business problems.  They will explore new business alternatives and drive improvement in business decisions.
 
Responsibilities
•	Develop the approach and methods to define and solve management problems through quantitative analysis and analytical models, using operations research, statistics, forecasting techniques and structured programming languages.  Provides on-going analytical services to client organizations.  Duties include: 
o	Mathematical modeling, forecasting, applications development, and providing support
o	Leverage understanding of the business process to identify and implement solutions that will result in significant bottom-line contributions
o	Participate in model design, prototype, and model development for several efforts that occur simultaneously, and interfaces with product delivery groups
o	Communicate results to management and clients  
•	Total yearly contributions in cost reduction and revenue improvement through business partnership. Business ideas generated and system enhancements put in place to reduce costs and improve reliability and customer satisfaction in critical company-wide business processes.",Career Employment – Graduating Students & Alumni,"Master of Business Logistics Engineering, Master of Business Operational Excellence, Chemical Engineering, Master of Business Logistics Engineering, Industrial and Systems Engineering, Materials Science and Engineering, Mathematical Sciences - MMS, Mathematics - MS & PhD","Education
•	Ph.D. or ABD in Operations Research, Statistics, Applied Mathematics, Decision Science, Materials Science, Economics, or Industrial Engineering, Systems Engineering, Chemical Engineering, or related discipline involving quantitative analysis required
OR
•	MS in Operations Research, Statistics, Applied Mathematics, Decision Science, Materials Science, Economics or Industrial Engineering, Systems Engineering, Chemical Engineering, or related discipline involving quantitative analysis, and 1.5 years of experience in Operations Research or related field involving solving complex business problems or applying statistical methods required


Knowledge/Skills
•	Coursework or work experience with mathematical programming or probability/ forecasting techniques required
•	Coursework or work experience in model prototyping through use of either optimization toolkit(s) including CPLEX, AMPL, or OPL, or statistical package(s) including SAS or SPSS, Minitab and/or BI tools required
•	Coursework or work experience with C, C++, Java, FORTRAN, or other structured programming language required
•	Good business, technical, verbal/written communication, presentation and sales skills required
•	Adaptability to changing business environment required
•	Good interpersonal skills and ability to interact with clients required 
•	Knowledge of United/Industry data sources preferred
Experience
•	If MS, 1.5 years of experience in Operations Research or related field involving solving complex business problems or applying statistical methods required
•	Proficient with Microsoft Office Suite
•	At least 2 years of professional experience in analytical field preferred
•	At least 1 years of airline business experience preferred
•	Demonstrated ability to create business value preferred
Other:
•	Must be legally authorized to work in the United States for any employer without sponsorship
•	Successful completion of interview required to meet job qualification
•	Reliable, punctual attendance is an essential function of the position"
KeyBank Capital Markets Undergraduate Intern - Summer 2016,"Application Deadline is 11/2/2015!

About Key

Cleveland-based KeyCorp (NYSE: KEY) is one of the nation's largest based-bank financial service companies, with assets of approximately $91 billion.  Key companies provide investment management, retail and commercial banking, consumer finance, and investment banking products and services to individuals and companies throughout the United States and, for certain businesses, internationally. 

About the Business

KBCM is a leading, full-service corporate and investment bank dedicated to serving the needs of middle market clients.  The program provides interns the opportunity to refine current business skills, learn new ones, and apply them to identify corporate finance and capital markets solutions for our clients. 

KeyBanc Capital Markets Inc. (KBCM), the Corporate and Investment Banking arm of KeyCorp, is looking for a select group of energetic, client-focused individuals to join our Capital Markets Internship Program for summer 2016. 

Essential Job Functions

You will begin with an orientation that will introduce you to Key's infrastructure and the business.  You will receive Excel and PowerPoint tips, etiquette training, resume counseling, along with additional on-the-job training to help you perform in your internship.  You will get direct coaching and feedback on your performance.  Opportunities where interns may be placed include:  Corporate and Investment Banking, Mergers and Acquisitions, Debt Capital Markets, Equity Capital Markets, and Syndicated Finance. 
Interns work with industry and product group bankers in cross-functional teams, originating and executing a wide variety of financial advisory and capital markets mandates.",Internship,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Economics, Mathematics","Required Qualifications
- Enrolled in an undergraduate program (primarily graduating by summer of 2016) 
- Coursework in Finance, Economics, and Accounting preferred, open to all majors 
- A minimum of 3.3 GPA (preferred) 
- Relevant work or internship experience 
- Demonstrated teamwork and leadership through extracurricular activities 


This position is NOT eligible for employment visa sponsorship for non-U.S. citizens. 

KeyCorp is an Equal Opportunity Employer M/F/D/V"
KeyBank Credit Risk Internship - Summer 2016,"Application Deadline is 10/30/2015!

Job Description 
Key Enterprise Risk Management provides leadership on risk management strategies and initiatives for credit, market, compliance, and operational risk, as well as portfolio management, quantitative analytics, and asset recovery activities.

ABOUT THE INTERNSHIP
The Credit Risk Management Internship program spans 10 weeks in the summer at our East Credit Campus, located in Brooklyn, Ohio. As an intern, you will utilize credit systems, review company credit information, and understand how credit is determined. In addition to day-to-day credit training, you will participate in a variety of special events and activities with current KeyBank Credit Risk Analysts and Leaders to increase your banking industry knowledge.

WHAT DOES OUR INTERNSHIP OFFER?
•Orientation to Key's infrastructure and the business
•Training (on-the-job, Excel® and PowerPoint®, etiquette, resume counseling, and more)
•Direct coaching and feedback
•Engagement with senior leaders
•Community involvement
•Networking opportunities
•Executive Speaker Series
•Consideration for full-time placement (after graduation) upon completion of the internship",Internship,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Actuarial Science, Data Analytics, Economics, Mathematics","WHAT ARE WE LOOKING FOR?
•Current enrollment in a Bachelor's degree program in Business, Finance, Accounting, or related field
•Outstanding academic achievement (minimum cumulative 3.3 GPA preferred)
•Strong accounting and financial acumen
•Good analytical and decision-making skills
•Effective oral and written communication skills
•Demonstrated teamwork through extracurricular activities

This program is not eligible for employment visa sponsorship.
program in Accounting, Business, Finance, Economics, or related fields of study (graduating by summer 2016)
•Outstanding academic achievement (3.5 GPA or higher) 
•Strong accounting and financial acumen 
•Good analytical and decision making skills 
•Demonstrated teamwork and leadership through extra curricular activities
•Effective oral and written communication skills

This position is NOT eligible for employment visa sponsorship for non-U.S. citizens.

KeyCorp is an Equal Opportunity Employer M/F/D/V"
KeyBank Credit Risk Management Analyst,"Application Deadline for Cleveland, OH is 10/30/2015

About Key

Cleveland-based KeyCorp (NYSE: KEY) is one of the nation's largest based-bank financial service companies, with assets of approximately $91 billion.  Key companies provide investment management, retail and commercial banking, consumer finance, and investment banking products and services to individuals and companies throughout the United States and, for certain businesses, internationally. 

About the Job

We are looking for candidates interesting in interviewing in Fall 2015 for a full-time role starting in August 2016.

The Risk Management Analyst Program is a career development program designed to build KeyBank risk professionals through intense training, work experiences, cross-functional experiences and robust feedback and performance management. 
	
All Program Analysts complete a 10-week training course which consists of a variety of opportunities and skill development, including: on-boarding, business etiquette, business writing, accounting, finance, presentation skills, financial modeling, advanced excel, credit skills, an executive speaker series and more. Analysts will develop skills in credit risk, business analysis, and banking. A valuable capstone project is also assigned to provide analysts immense experience and exposure to presenting their new skills and knowledge to members of our Risk leadership team. 
	
The length of this development program is 2-3 years and consists of consists of opportunities to learn portfolio management, renewals and new loan underwriting in both business banking and middle market. Career Assignments include: Portfolio Monitoring & Analysis, Credit Reviews & Renewals, and Credit Underwriting. 
	
Upon completion of initial training, the role will be at our East Credit Campus, located in Brooklyn, OH. Upon successfully completing the entire program, you will have the opportunity for placement based on business needs, demonstrated skill, your interests, and performance during the program.  Positions may be available in Cleveland, OH or other regions within the KeyBank footprint, so flexibility to relocate is highly preferred.

Essential Job Functions

•Spread and analyze financial data 
•Conduct period reviews of client credit relationships 
•Test data integrity 
•Work with various systems and models 
•Communicate with various credit and sales professionals 
•Conduct the analysis and underwriting of existing and new credit transactions
•Opportunities for special projects will be determined based on performance and business needs",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Actuarial Science, Data Analytics, Economics, Mathematics","Required Qualifications
•Bachelor’s Degree in Accounting, Business, Finance, Economics 
•3.3 GPA Required, 3.5+ preferred 
•Strong financial and/or accounting acumen 
•Good analytical and decision-making skills 
•Exceptional interpersonal and relationship-building skills 
•Effective oral and written communication skills 
•Strong knowledge of Microsoft® Office applications, with an emphasis on Excel® 
•Ability to work independently and as part of a team 

This position is NOT eligible for employment visa sponsorship for non-U.S. citizens. 

KeyCorp is an Equal Opportunity Employer M/F/D/V"
KeyBank Quantitative Risk Analyst,"Application Deadline is 10/30/2015!

DESCRIPTION

Quantitative Rotational Analysts will start with several weeks of foundational training to broaden your financial accounting, finance theory, cash flow analysis, financial modeling, presentation, and business writing skills. Rotations will begin upon completion of the foundational training, and continue for 12-18 months, each rotation being 6 months in length. A member of the Risk Management team and other Analysts will serve as your mentors while working in the Program.

Rotational areas may include, but are not limited to:
•	Credit Portfolio Management
•	Credit Risk Management
•	Market Risk Management
•	Model Risk Control
•	Operational Rick
•	Quantitative Risk Analysis

Upon successfully completing the Program, you will have the opportunity for placement based on business needs, demonstrated skill, your interests, and performance throughout the Program.

Essential Job Functions:
- Analytics and reporting
- Working with regulatory reporting
- Assess and monitor risk and risk control processes across all risk areas
- Understand and validate models
- Participate in model and report development
- Demonstrate ability to perform research and analysis with integrity and accuracy
- Ability to monitor and evaluate problems across a broad spectrum of risk",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Actuarial Science, Data Analytics, Economics, Mathematics","Qualifications:
- Bachelor's degree in Mathematics, Statistics, Financial Engineering, Business Analytics, Economics, or related field of study
- Outstanding academic achievement (3.5 or above GPA preferred, 3.3 minimum required)
- Strong accounting and financial acumen
- Good analytical and decision making skills
- Exceptional interpersonal and relationship-building skills
- Effective oral and written communication skills
- Relevant work or internship experience, a plus
- Eligibility to work permanently in the US

This position is NOT eligible for employment visa sponsorship for non-U.S. citizens.
KeyCorp is an Equal Opportunity Employer M/F/D/V"
